REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Temperate Northern Pacific,Warm Temperate Northwest Pacific,Central Kuroshio Current,Japan,Pseudocaranx dentex,3101.3,4,12405.2,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Japan,Pseudocaranx dentex,3101.3,4,12405.2,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Northeastern Honshu,Japan,Pseudocaranx dentex,3101.3,4,12405.2,Native
Central Indo-Pacific,South Kuroshio,South Kuroshio,Japan,Pseudocaranx dentex,3101.3,4,12405.2,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Bahamian,Bahamas,Rachycentron canadum,21.66666667,1,21.66666667,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Western Caribbean,Belize,Rachycentron canadum,121.6714286,1,121.6714286,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,China,Rachycentron canadum,33914.8,3,12932.63009,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,China,Rachycentron canadum,33914.8,3,11304.93333,Native
Central Indo-Pacific,South China Sea,Southern China,China,Rachycentron canadum,33914.8,3,11304.93333,Native
Central Indo-Pacific,South China Sea,Gulf of Tonkin,China,Rachycentron canadum,33914.8,3,11304.93333,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Taiwan Province of China,Rachycentron canadum,1577.673123,3,525.891041,Native
Central Indo-Pacific,South China Sea,Southern China,Taiwan Province of China,Rachycentron canadum,1577.673123,3,525.891041,Native
Central Indo-Pacific,South Kuroshio,South Kuroshio,Taiwan Province of China,Rachycentron canadum,1577.673123,3,525.891041,Native
Tropical Eastern Pacific,Tropical East Pacific,Panama Bight,Colombia,Rachycentron canadum,112.1666667,2,56.08333335,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Southwestern Caribbean,Colombia,Rachycentron canadum,112.1666667,2,56.08333335,Native
Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,Mayotte,Rachycentron canadum,4,1,4,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,Dominican Republic,Rachycentron canadum,100,1,100,Native
Tropical Eastern Pacific,Tropical East Pacific,Panama Bight,Ecuador,Rachycentron canadum,34.73,2,17.365,Native
Tropical Eastern Pacific,Tropical East Pacific,Guayaquil,Ecuador,Rachycentron canadum,34.73,2,17.365,Introduced
Tropical Atlantic,Tropical Northwestern Atlantic,Eastern Caribbean,Martinique,Rachycentron canadum,10.125,1,10.125,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Southern Caribbean,Bonaire/S.Eustatius/Saba,Rachycentron canadum,0.116666667,1,0.116666667,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Southwestern Caribbean,Panama,Rachycentron canadum,562.9,1,562.9,Native
Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles,Puerto Rico,Rachycentron canadum,11,1,11,Native
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Singapore,Rachycentron canadum,1.879214286,1,1.879214286,Native
Central Indo-Pacific,Sunda Shelf,Southern Vietnam,Viet Nam,Rachycentron canadum,2954.666667,2,1477.333334,Native
Central Indo-Pacific,South China Sea,Gulf of Tonkin,Viet Nam,Rachycentron canadum,2954.666667,2,1477.333334,Native
Temperate Australasia,Southeast Australian Shelf,Bassian,Australia,Salmo salar,38227.8367,1,38227.8367,Introduced
Arctic,Arctic,Northern Grand Banks - Southern Labrador,Canada,Salmo salar,29922.4,3,9974.133333,Native
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Gulf of St. Lawrence - Eastern Scotian Shelf,Canada,Salmo salar,29922.4,3,9974.133333,Native
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Southern Grand Banks - South Newfoundland,Canada,Salmo salar,29922.4,3,9974.133333,Native
Temperate Northern Pacific,Cold Temperate Northeast Pacific,North American Pacific Fijordland,Canada,Salmo salar,76496.9,5,15299.38,Introduced
Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",Canada,Salmo salar,76496.9,5,15299.38,Introduced
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,Canada,Salmo salar,76496.9,5,15299.38,Native
